file_name,leaf_count,average_leaf_area,projected_leaf_area,diameter,perimeter,compactness,stockiness
./data/AraCropData/Plant_1/IMG_2013-09-14_08-00.png,5,0.10169999999999998,0.5085,1.2093386622447824,4.9799999999999995,0.6819553409776703,0.25765711268373254
./data/AraCropData/Plant_1/IMG_2013-09-14_19-40.png,5,0.11718000000000002,0.5859,1.306981254647518,5.49,0.6314258001939866,0.244280428497352
./data/AraCropData/Plant_1/IMG_2013-09-15_08-00.png,5,0.12582,0.6237,1.2979984591670362,5.64,0.6151797603195741,0.2463924523469587
./data/AraCropData/Plant_1/IMG_2013-09-15_19-40.png,5,0.14328,0.7163999999999999,1.4821943192442748,6.45,0.5829366532405713,0.21639439716668254
./data/AraCropData/Plant_1/IMG_2013-09-16_08-00.png,5,0.1584,0.7919999999999999,1.6313491349187028,6.6,0.5768600458865945,0.22847946571562133
./data/AraCropData/Plant_1/IMG_2013-09-16_19-40.png,6,0.15495,0.9279,1.8573368030596926,7.739999999999999,0.5782389231632081,0.19463866509531141
./data/AraCropData/Plant_1/IMG_2013-09-17_08-00.png,7,0.14541428571428572,1.0179,2.0402205763103165,8.34,0.5670594133868138,0.1839004860623185
./data/AraCropData/Plant_1/IMG_2013-09-17_19-40.png,7,0.16187142857142858,1.1277,1.9994499243541959,8.91,0.6113686264942667,0.17850403450659275
./data/AraCropData/Plant_1/IMG_2013-09-18_08-00.png,7,0.18527142857142856,1.2951,2.2483994307062076,10.02,0.6132537822288513,0.16209802533313178
./data/AraCropData/Plant_1/IMG_2013-09-18_19-40.png,6,0.23189999999999997,1.3914,2.4955961211702506,10.44,0.5753628582061779,0.1604208694163635
./data/AraCropData/Plant_1/IMG_2013-09-19_08-00.png,7,0.22268571428571424,1.5552,2.564254277562972,11.43,0.5981308411214955,0.14959037497408154
./data/AraCropData/Plant_1/IMG_2013-09-19_19-40.png,7,0.2433857142857143,1.7019,2.7536339626028727,12.27,0.575734510579997,0.14205442836755636
./data/AraCropData/Plant_1/IMG_2013-09-20_08-00.png,8,0.26955,1.6254,2.722076413328619,12.719999999999999,0.513213981244672,0.12623968343679173
./data/AraCropData/Plant_1/IMG_2013-09-20_19-40.png,7,0.3040714285714286,2.1212999999999997,3.1075713990188545,13.41,0.5729913698796644,0.1482362433025768
./data/AraCropData/Plant_1/IMG_2013-09-21_08-00.png,9,0.2713,2.4255,3.1132137735786793,15.809999999999999,0.5877221677025406,0.12194034042429122
./data/AraCropData/Plant_1/IMG_2013-09-21_19-40.png,10,0.2772,2.7414,3.3017722513825816,17.7,0.5709465791940019,0.10996025536149968
./data/AraCropData/Plant_1/IMG_2013-09-22_08-00.png,10,0.31347,3.0932999999999997,3.2979539111394507,18.09,0.5840768119636333,0.11878313188494363
./data/AraCropData/Plant_1/IMG_2013-09-22_19-40.png,9,0.3685,3.3093,3.360133925902359,19.23,0.577962904746935,0.11245724370072764
./data/AraCropData/Plant_1/IMG_2013-09-23_08-00.png,10,0.3717,3.7134,3.431690545489205,20.34,0.5788033948235954,0.11279236422160864
./data/AraCropData/Plant_1/IMG_2013-09-23_19-40.png,10,0.38654999999999995,3.8655,3.303407331831786,20.82,0.6039513464107431,0.11206089617194863
./data/AraCropData/Plant_1/IMG_2013-09-24_08-00.png,10,0.44676,4.4586,3.5079481182024344,22.77,0.5709675560421829,0.10806431738511657
./data/AraCropData/Plant_1/IMG_2013-09-24_19-40.png,10,0.48149999999999993,4.797,3.6526155012538615,23.55,0.5907780979827087,0.10869204490978843
./data/AraCropData/Plant_1/IMG_2013-09-25_08-00.png,9,0.6159,5.5268999999999995,4.038539339909914,26.4,0.5662256235304967,0.0996514487897465
./data/AraCropData/Plant_1/IMG_2013-09-25_19-40.png,9,0.6728000000000001,6.0534,3.969647339500072,28.2,0.5916087606649663,0.09565573647824785
./data/AraCropData/Plant_1/IMG_2013-09-26_08-00.png,10,0.69516,6.9479999999999995,4.272762572388032,30.93,0.5852475172466075,0.09126617170606711
./data/AraCropData/Plant_1/IMG_2013-09-26_19-40.png,10,0.76338,7.6284,4.36033255612459,32.4,0.6088205717569314,0.0913173502463206
./data/AraCropData/Plant_1/IMG_2013-09-27_08-00.png,12,0.7222499999999998,8.622,5.089489168865575,37.83,0.5812754080456282,0.0757085973240784
./data/AraCropData/Plant_1/IMG_2013-09-27_19-40.png,12,0.7290749999999999,8.7201,5.123768144637304,37.11,0.5636580470636144,0.07957001147097217
./data/AraCropData/Plant_1/IMG_2013-09-28_08-00.png,13,0.821076923076923,10.6128,5.811178882120219,45.0,0.5533682160538728,0.06585895212645482
./data/AraCropData/Plant_1/IMG_2013-09-28_19-40.png,14,0.81945,11.447099999999999,6.210579683089172,47.129999999999995,0.545201251661023,0.06476053997645677
./data/AraCropData/Plant_1/IMG_2013-09-29_08-00.png,14,0.9133714285714285,12.7494,6.431205174770899,51.57,0.5485063791067316,0.0602428276119421
./data/AraCropData/Plant_1/IMG_2013-09-29_19-40.png,15,0.8849999999999999,13.1724,6.539243075463704,51.69,0.5502048795158074,0.06195290991928224
./data/AraCropData/Plant_1/IMG_2013-09-30_08-00.png,14,1.0004142857142857,13.9374,6.539243075463704,51.449999999999996,0.5615345565305678,0.06616386550976759
./data/AraCropData/Plant_1/IMG_2013-09-30_19-40.png,14,1.0434857142857141,14.5242,6.694303548540355,51.989999999999995,0.5649571153509538,0.06752466678182766
./data/AraCropData/Plant_1/IMG_2013-10-01_08-00.png,14,1.1024999999999998,15.3576,6.720267851804718,54.39,0.5742457639952212,0.06523716778692616
./data/AraCropData/Plant_1/IMG_2013-10-01_19-40.png,15,1.08246,16.1541,6.720267851804718,53.4,0.5869042753208535,0.07118854505653731
./data/AraCropData/Plant_1/IMG_2013-10-02_08-00.png,15,1.1367,16.9479,6.746265633667266,55.199999999999996,0.6020236896369828,0.06989524014620677
./data/AraCropData/Plant_1/IMG_2013-10-02_19-40.png,15,1.18872,17.0316,6.735317364460267,57.269999999999996,0.5918003565062389,0.06525457216557479
./data/AraCropData/Plant_1/IMG_2013-10-03_08-00.png,15,1.19424,17.892,6.7574625415166,56.58,0.6114007165813227,0.07023326644546701
./data/AraCropData/Plant_1/IMG_2013-10-03_19-40.png,14,1.3478142857142854,18.8586,6.912575496875242,56.16,0.6111086807530223,0.07513894877196167
./data/AraCropData/Plant_1/IMG_2013-10-04_08-00.png,15,1.3114199999999998,19.6551,7.031848974487436,57.809999999999995,0.613360295459971,0.0739059124163224
